Age,Education,Occupation,Gender,Comments
30-40,Graduate,Professional/Service,Male,"Quality,   brand,   price and support"
40-50,Graduate,Professional/Service,Female,"review ,  need,  prize,  delivery option"
15-30,Graduate,Professional/Service,Female,1. If I need it. 2. Brand value 3. Quality 4. Trend
30-40,Post Graduate,Professional/Service,Male,"Discounts,   pricing,   reviews"
15-30,Graduate,Professional/Service,Male,"Price,   quality,   brand,   discounts"
above 51,Graduate,Retired,Male,Brand reviews authentic website prive
15-30,Graduate,Professional/Service,Female,"price,   delivery time,   quality,   reviews"
15-30,Graduate,Professional/Service,Male,"Price of the product,   brand of the product,   features of the product,   reviews by other customers "
15-30,High School,Student,Female,"reasonable,  efficient,  portable and best product"
30-40,Post Graduate,Professional/Service,Male,"reliability,  efficient"
15-30,Post Graduate,Professional/Service,Female,"Price,   Reviews,   Discount,   Availability "
30-40,Graduate,Business,Female,reasonable
30-40,Post Graduate,Homemaker,Female,"Availability,   Amount,   delivery time,   site credentials "
40-50,Graduate,Professional/Service,Male,"Picture,   brand,   ratings and seller"
30-40,Post Graduate,Professional/Service,Male,"Website credibility,   seller rating,   product rating,   Discounts"
above 51,Graduate,Professional/Service,Male,"Brand,   reviews,   look,   shop"
15-30,Post Graduate,Professional/Service,Male,"Genuine Reviews,  quality,   offer discount,  overall rating"
30-40,Post Graduate,Professional/Service,Male,"Price,   quality,   reviews,   features"
15-30,Graduate,Student,Male,Price 
15-30,Graduate,Business,Male,"Quality,   price,   size,   brand"
15-30,Graduate,Professional/Service,Male,"Genuine online site,  Reasonable price,  brand and Quality."
30-40,Post Graduate,Professional/Service,Female,"Trust on website,   product reviews,   price range,   dicounts"
15-30,Post Graduate,Professional/Service,Female,Easily accessible 
above 51,Post Graduate,Professional/Service,Female,"Sale,   brand,   variety,   options for return "
30-40,Post Graduate,Professional/Service,Female,"look,   cost effective,   purpose & durability"
40-50,Post Graduate,Professional/Service,Male,1. Requirements 
15-30,High School,Student,Male,"Quality,   authenticity,   budget and services"
above 51,Graduate,Business,Male,Only need basis. Does not trust on line sites except amazon
15-30,Post Graduate,Professional/Service,Male,"Time saving ,   window shopping,   discounts,   variety"
15-30,Post Graduate,Professional/Service,Male,"Convenience,   price,   time,   return"
15-30,Graduate,Student,Male,Quality cost review 
40-50,Post Graduate,Professional/Service,Female,"Durability,   affordability,   transparency of the product,   display of the picture"
15-30,Post Graduate,Professional/Service,Male,"Ratings,   price,   delivery,   review"
30-40,Post Graduate,Homemaker,Female,Ease of buying.  Not getting in nearby store. Prds of my choice  like games n books r not easily available in my city . 
above 51,Post Graduate,Professional/Service,Female,"1.Time saving 2.Cheap,  3.reviews 4.exchane at doorstep"
above 51,Post Graduate,Retired,Male,"Saves time,  cheap as compared to open market,  replacement policy,  Brandpreferance"
40-50,Post Graduate,Professional/Service,Female,"Price,   comparasion,   brand,   usability"
30-40,Post Graduate,Professional/Service,Male,"Price,   quality,   speed of delivery,   ease of return"
15-30,Graduate,Student,Female,"Reviews ,   cost comparison,   delivery time and site "
15-30,Post Graduate,Professional/Service,Male,"Price,   Quality,   Review,   Service"
30-40,Post Graduate,Professional/Service,Male,"Cost,   Ease of  Access"
15-30,Graduate,Professional/Service,Male,"Genuine online site,  Reasonable price,  brand and Quality."
15-30,Post Graduate,Student,Male,"Need,   Reviews,   Price,   Service (Delivery,   Return Policy etc.)"
15-30,Post Graduate,Professional/Service,Female,"Quality,   price,   payment option ,   security "
40-50,Graduate,Professional/Service,Female,"Costs,   discounts,   variety,   honest specifications "
30-40,Post Graduate,Professional/Service,Male,1. Price comparison  2. Product quality as per reviews 3. Rating of the seller 4. No. of reviews given to product
15-30,Graduate,Student,Female,"Quality,  cost,  efficiency,  efficiency"
15-30,Post Graduate,Student,Male,"Price,   Quality,   Brand & Reviews"
15-30,Post Graduate,Professional/Service,Female,"Reviews,   price comparison,   ease of looking for options,   return policies"
above 51,Post Graduate,Professional/Service,Female,"Price ,  quality,  delivery terms,  genuinity"
40-50,Post Graduate,Professional/Service,Female,"Feedback ,   Ease of  Access"
15-30,Post Graduate,Professional/Service,Male,"Price,   reviews,   rating,   availibility"
15-30,Graduate,Student,Male,"Discounts,   ease of delivery,   availability "
15-30,Post Graduate,Professional/Service,Male,"Price,   performance,   alternatives,   ease of delivery "
15-30,Graduate,Professional/Service,Female,"Convenience,   Price,   selection"
15-30,Post Graduate,Student,Female,"Brand,   portal,   cost,   delivery "
15-30,Post Graduate,Professional/Service,Female,"Price,   Variety,   Time saving,   Access"
30-40,Graduate,Professional/Service,Male,Good Display Pictures and Detailed description.
30-40,Post Graduate,Professional/Service,Female,"Read about the product,   never compromises with quality,   grab the right product after seeing the over"
30-40,Post Graduate,Student,Female,"Durable,  Exchangeable,  pocket friendly and Quality"
15-30,Graduate,Student,Female,"1. Clear description of every relevant detail,   like size,   material,   extra parts,   warranty information    2. Trusted Website with no hassle return  3.Trusted seller   4. Can I get it for cheaper from a nearby brick and mortar shop? "
15-30,Post Graduate,Student,Female,"Review,   brand"
15-30,PHD,Student,Female,"durability,   exchangeable,   quality,   pocket friendly"
15-30,Post Graduate,Student,Male,"Quality,   Brand,   Ratings,   Demand"
15-30,Post Graduate,Student,Male,"Discount,  percentage of positive reviews,  brand name,  replacement policy"
15-30,Post Graduate,Professional/Service,Male,Brand and discount
15-30,Graduate,Professional/Service,Male,"Price,   quality,   reviews,   offline availability"
30-40,Post Graduate,Professional/Service,Male,"Rating,   Ease of  Access"
15-30,Post Graduate,Professional/Service,Male,Product features Product quality customer review price
above 51,Graduate,Professional/Service,Female,"Rate,   home delivery,   easy to place order,   wide range"
15-30,Post Graduate,Student,Female,"price,   quality assurance ,  variety available,   time and cost of delivery"
15-30,Graduate,Professional/Service,Female,Images in reviews. These images are not professional images and give you a better look and feel of the product
30-40,Post Graduate,Professional/Service,Female,"Price,   reviews,   brand,   return option"
30-40,Graduate,Professional/Service,Female,"Convience,   more choices,   cheaper sometime,   payment mode"
30-40,Post Graduate,Professional/Service,Male,"Convenience,   price,   easy to return,   reviews"
15-30,Post Graduate,Student,Female,"brand name,   buyer details,   rating,   reviews"
15-30,Post Graduate,Professional/Service,Female,"Price,   ratings"
30-40,Post Graduate,Professional/Service,Female,"Reviews,   likes,   what I like,   the vendor that sells it "
above 51,Post Graduate,Professional/Service,Male,"Credibility of online portal,   brand genuinely,   price,   "
30-40,Post Graduate,Business,Male,"Cost,   Brand,   User reviews,   Accessories available"
15-30,PHD,Professional/Service,Female,"Price,   availability,   delivery time"
15-30,Post Graduate,Professional/Service,Female,"Overall rating,   Brand,   Price difference,   Supplier"
15-30,Post Graduate,Professional/Service,Female,"Overall rating,   Brand,   Price difference,   Supplier"
15-30,Post Graduate,Student,Male,Credibility of e-Commerce website; Discounts offered; Past experience; Type of product
15-30,Post Graduate,Professional/Service,Male,"ease of buying,   discounts,   higher number of options to choose from"
